2021-01-19 22:34:45.212 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8787"]
2021-01-19 22:34:45.234 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8787 (http) with context path ''
2021-01-19 22:34:45.236 [main] INFO  com.fx.shop.ShopApplication - 
---------------------------------------------------------
	Application is running! Access address:
	Profile:	
	Local:		http://localhost:8787
	External:	http://192.168.85.1:8787
	Swagger:	http://192.168.85.1:8787/doc.html
---------------------------------------------------------

2021-01-19 22:34:45.236 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Documentation plugins bootstrapped
2021-01-19 22:34:45.242 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 2 custom documentation plugin(s)
2021-01-19 22:34:45.280 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-01-19 22:34:45.504 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-01-19 22:34:45.531 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: appointPickUpUsingPOST_1
2021-01-19 22:34:45.536 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: electronicCancelUsingPOST_1
2021-01-19 22:34:45.553 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: electronicSheetUsingPOST_1
2021-01-19 22:34:45.563 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: visitPickUpUsingPOST_1
2021-01-19 22:34:45.566 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: commonlyListUsingGET_1
2021-01-19 22:34:45.569 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: immediateQueryUsingGET_1
2021-01-19 22:34:45.580 [main] INFO  com.fx.shop.ShopApplication - Started ShopApplication in 3.74 seconds (JVM running for 4.839)
2021-01-19 22:34:54.697 [http-nio-8787-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-01-19 22:34:54.697 [http-nio-8787-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-01-19 22:34:54.698 [http-nio-8787-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-01-19 22:35:28.353 [http-nio-8787-exec-4] INFO  com.fx.shop.service.impl.QueryServiceImpl - 请求参数：{LogisticCode=3488488444444, ShipperCode=YTO, OrderCode=null, CustomerName=null}
2021-01-19 22:35:28.415 [http-nio-8787-exec-4] INFO  com.fx.shop.service.impl.QueryServiceImpl - 请求的json参数:RequestData=%7B%22ShipperCode%22%3A%22YTO%22%2C%22LogisticCode%22%3A%223488488444444%22%7D&EBusinessID=1654280&DataType=2&DataSign=OTcwMTRmNWNjYzE0ZTJiYzBmOGU2OTg1ZmYzYzEwMmM%3D&RequestType=8001
2021-01-19 23:02:16.739 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-19 23:02:24.828 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2021-01-19 23:02:24.840 [main] INFO  com.fx.shop.ShopApplication - Starting ShopApplication using Java 1.8.0_152 on AUTOBVT-K8KUTA7 with PID 22700 (F:\myIdeaspace\shop\target\classes started by Administrator in F:\myIdeaspace\shop)
2021-01-19 23:02:24.841 [main] INFO  com.fx.shop.ShopApplication - No active profile set, falling back to default profiles: default
2021-01-19 23:02:26.128 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-19 23:02:26.131 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-19 23:02:26.169 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2021-01-19 23:02:26.750 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-01-19 23:03:27.371 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2021-01-19 23:03:27.420 [main] INFO  com.fx.shop.ShopApplication - Starting ShopApplication using Java 1.8.0_152 on AUTOBVT-K8KUTA7 with PID 7676 (F:\myIdeaspace\shop\target\classes started by Administrator in F:\myIdeaspace\shop)
2021-01-19 23:03:27.420 [main] INFO  com.fx.shop.ShopApplication - No active profile set, falling back to default profiles: default
2021-01-19 23:03:28.606 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-19 23:03:28.609 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-19 23:03:28.637 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2021-01-19 23:03:29.309 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8787 (http)
2021-01-19 23:03:29.321 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8787"]
2021-01-19 23:03:29.322 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-01-19 23:03:29.323 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2021-01-19 23:03:29.436 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-19 23:03:29.437 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1938 ms
2021-01-19 23:03:29.631 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-01-19 23:03:29.655 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-01-19 23:06:12.907 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2021-01-19 23:06:12.935 [main] INFO  com.fx.shop.ShopApplication - Starting ShopApplication using Java 1.8.0_152 on AUTOBVT-K8KUTA7 with PID 25612 (F:\myIdeaspace\shop\target\classes started by Administrator in F:\myIdeaspace\shop)
2021-01-19 23:06:12.936 [main] INFO  com.fx.shop.ShopApplication - No active profile set, falling back to default profiles: default
2021-01-19 23:06:14.015 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-19 23:06:14.017 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-19 23:06:14.049 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2021-01-19 23:06:14.619 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8787 (http)
2021-01-19 23:06:14.629 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8787"]
2021-01-19 23:06:14.630 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-01-19 23:06:14.630 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2021-01-19 23:06:14.731 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-19 23:06:14.731 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1746 ms
2021-01-19 23:06:15.198 [main] INFO  s.d.s.w.WebMvcPropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2021-01-19 23:06:15.269 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
